"empty_slots","extra__number","extra__reviews","extra__score","extra__status","extra__uid","free_bikes","id","latitude","longitude","name","timestamp"
"6","91","558","3.7","online","341","6","ae8eae4419e7c094b6365228f6eac681","45.070719","7.655975","Adriano","2022-04-06T10:55:14.843000Z"
"9","47","213","4.2","online","296","7","6f7549bea746384a7a9868d1f8785f1c","45.071445","7.68806","Castello 1","2022-04-06T10:55:14.842000Z"
"5","4","24","4.2","online","586","0","e6642b43e6d4732fcd596eef9dc4c931","45.13563084470412","7.625724077224732","04. Reggia","2022-04-06T10:55:14.935000Z"
"9","6","37","4.2","online","588","4","c152199d3e16721e1f430de89ffff5eb","45.13300074668823","7.632789015769959","06. Municipio","2022-04-06T10:55:14.935000Z"
"0","199","4","3.6","maintenance","1667","0","055bfeb73e15dd3eb17558c483954eff","45.0787395","7.6928751","Palermo 2","2022-04-06T10:55:14.843000Z"
"8","69","268","4.0","online","319","6","c162505446e5b624d0bc6c90fd405b3d","45.061696","7.693865","Murazzi","2022-04-06T10:55:14.843000Z"
"0","11","537","4.0","online","260","11","3c1c5c0914a37de93c7f62ffedfcfa93","45.070527","7.682217","Pietro Micca","2022-04-06T10:55:14.842000Z"
"10","68","272","4.3","online","318","4","03bc5daeb184427e46b2f9a75c26175f","45.065162","7.693616","Vittorio Veneto 2","2022-04-06T10:55:14.843000Z"
"7","45","355","4.3","online","294","7","7448dbc6ff21976efad0893651c90a85","45.069936","7.682373","Bertola","2022-04-06T10:55:14.842000Z"
"4","78","1116","4.1","online","328","8","8fe5434fe7ec6c7e1c1fa865ce2d3444","45.069123","7.720369","Carrara","2022-04-06T10:55:14.843000Z"
"14","65","2079","4.4","online","315","3","4867e03cce4df98f29ce107d36a7d946","45.053175","7.655603","Orbassano","2022-04-06T10:55:14.843000Z"
"18","37","285","3.8","online","286","6","521c60f663967bf1ccd6570da04b715f","45.062814","7.679367","Porta Nuova 2","2022-04-06T10:55:14.842000Z"
"8","3","351","3.3","online","252","9","248d4542158dc35ace927f698f059a14","45.073442","7.668313","Porta Susa 2","2022-04-06T10:55:14.842000Z"
"5","54","207","4.0","online","303","11","7dcf829c0482125b211b89eb5844b675","45.068576","7.69437","Universita` 1","2022-04-06T10:55:14.842000Z"
"0","94","485","3.9","maintenance","344","0","f55ebcb31d285be22a769cf9654d3fa9","45.079481","7.689259","Dora Firenze","2022-04-06T10:55:14.843000Z"
"9","67","84","3.8","online","317","4","2703d498858c74efb1028a04355e954d","45.06513","7.692299","Maria Vittoria","2022-04-06T10:55:14.843000Z"
"9","39","171","3.6","online","288","5","33714b6419767c5e680c7e4d26166ce3","45.063477","7.68087","Lagrange","2022-04-06T10:55:14.842000Z"
"7","15","275","4.1","online","263","7","05bada8db0039c68d352ad6871e5ef50","45.076807","7.687295","XI Febbraio","2022-04-06T10:55:14.842000Z"
"2","52","297","4.1","online","301","11","8a3a53282bb598dd7af17e701d9800ff","45.068872","7.691291","RAI","2022-04-06T10:55:14.842000Z"
"4","61","116","3.8","online","311","11","5fec3710584f4dd43dec9aa89b24087a","45.064756","7.68635","Valdo Fusi","2022-04-06T10:55:14.842000Z"
"16","113","292","4.3","online","363","6","b76c89db641fe1598a58fb8db0fc5ce5","45.042244","7.673145","Molinette 1","2022-04-06T10:55:14.843000Z"
"6","114","562","4.1","online","364","9","fb7703a90978c8c7761a2c993cf8c0bb","45.042809","7.677524","Molinette 2","2022-04-06T10:55:14.843000Z"
"10","29","173","4.0","online","277","7","667249c62f287db7e329d77771d9cf41","45.064211","7.678759","Paleocapa","2022-04-06T10:55:14.842000Z"
"14","31","502","4.1","online","279","10","4e8b78ae051b1ec0ae1e3461890f189d","45.068813","7.667955","Matteotti 3","2022-04-06T10:55:14.842000Z"
"11","35","255","4.1","online","284","5","583e2a7684d746923ce519089b6e9447","45.054361","7.675643","Nizza 2","2022-04-06T10:55:14.842000Z"
"0","41","271","3.8","online","290","7","d59181aba3646ad37cab8ae54cbecebc","45.066101","7.682206","CLN","2022-04-06T10:55:14.842000Z"
"9","77","531","4.5","online","327","6","f73a37cf5d9755c0fddf02c0ffe1727d","45.057631","7.681271","Baretti","2022-04-06T10:55:14.843000Z"
"7","90","1247","4.0","online","340","9","e2b1ee06b8991ce41ab05a1dc2645c41","45.07617","7.655561","Bernini","2022-04-06T10:55:14.843000Z"
"11","14","327","2.6","online","262","0","77e77de1eeff89cff817a0616b6c76b6","45.076228","7.671769","Statuto 2","2022-04-06T10:55:14.842000Z"
"9","71","247","4.1","online","321","10","75be188ad8a1e26e09b945659599c2c1","45.066582","7.661789","O.G.R.","2022-04-06T10:55:14.843000Z"
"9","92","1491","4.5","online","342","7","92b1ecbf2a2372db24c7c9b1c907965a","45.057097","7.661246","De Gasperi","2022-04-06T10:55:14.843000Z"
"14","10","397","4.3","online","259","4","0904053b19a69a368ca1b25448ac6aa6","45.063835","7.676327","Vittorio Emanuele II 6","2022-04-06T10:55:14.842000Z"
"0","42","177","3.2","offline","291","0","12cfe32e7bb1c6f0d1b3d84ee82d39c8","45.067115","7.678052","Arcivescovado","2022-04-06T10:55:14.842000Z"
"5","24","344","4.1","online","272","9","a5b4759d61ccf764cfaef64a35827403","45.072944","7.665808","Inghilterra 1","2022-04-06T10:55:14.842000Z"
"12","33","86","3.3","online","281","3","ab72fb0727dabf331ac0796cfb7ff70f","45.071389","7.666648","Bolzano","2022-04-06T10:55:14.842000Z"
"18","116","432","4.4","online","306","8","5d14bc0345ad76855d580fa56d27127f","45.068205","7.662287","Castelfidardo","2022-04-06T10:55:14.842000Z"
"6","97","150","4.1","online","347","9","c37dddd62e523094fe99c8ec2ed3c5f1","45.065482","7.698692","Lungo Po Cadorna","2022-04-06T10:55:14.843000Z"
"8","40","360","4.0","online","289","11","4857953654e96658febd72bc5af8bc5d","45.044426","7.664214","Giordano Bruno","2022-04-06T10:55:14.842000Z"
"4","103","566","4.3","online","353","2","3ebabf483764faba24fdb48b7171f9b3","45.047665","7.672648","Dante","2022-04-06T10:55:14.843000Z"
"13","105","1103","4.3","online","355","2","140c9dad0e1a4b3b2a953c532fc33051","45.051634","7.663628","Mauriziano 2","2022-04-06T10:55:14.843000Z"
"10","34","420","3.6","online","283","2","ea60ce76df79dded12926aceb21f64ff","45.067595","7.66577","Vittorio Emanuele II 2","2022-04-06T10:55:14.842000Z"
"12","36","525","4.4","online","285","5","98429a4e5f54ed15e8f8a58093f55227","45.064639","7.673306","Vittorio Emanuele II 3","2022-04-06T10:55:14.842000Z"
"7","21","562","4.4","online","269","6","e06cf96c3ac62ab24e57101e1bcfbb2d","45.055278","7.663961","Galileo Ferraris 1","2022-04-06T10:55:14.842000Z"
"1","66","119","4.0","online","316","13","df5fcc9ba6234a6732ad0a73dcf0d560","45.064114","7.690438","Giolitti 2","2022-04-06T10:55:14.843000Z"
"2","84","154","4.1","online","334","16","4e8a8ea53e1bdcb4c9d92999c66a77e9","45.062132","7.663007","Politecnico 2","2022-04-06T10:55:14.843000Z"
"0","73","273","3.6","online","323","12","d42095306bf3c7c5c97f24724959315a","45.063058","7.698453","Gran Madre","2022-04-06T10:55:14.843000Z"
"10","7","417","3.6","online","256","4","7bca8a3ba888cc51fa918a67b59ec761","45.055337","7.671875","Sommeiller","2022-04-06T10:55:14.842000Z"
"16","18","823","4.5","online","266","7","7c3aec60b271b1e9ad200b335f499255","45.073368","7.682284","IV Marzo","2022-04-06T10:55:14.842000Z"
"10","27","126","3.9","online","275","6","cfe425768bb13389901d90f416fac748","45.069258","7.675946","Meucci","2022-04-06T10:55:14.842000Z"
"13","49","266","3.9","online","298","8","44f0d7cd1a80641e5efcb16e15870c9f","45.070049","7.68645","Castello 2","2022-04-06T10:55:14.842000Z"
"7","43","331","4.2","online","292","9","29429131a6fe32729fb1e4dc5e582c70","45.066514","7.683693","Giolitti 1","2022-04-06T10:55:14.842000Z"
"12","63","366","4.2","online","313","2","1e13062df679b8d771bf2647b0fedf9b","45.063371","7.684235","Bodoni","2022-04-06T10:55:14.842000Z"
"11","55","153","4.2","online","304","2","48ed2e628860d3c692cfff62d3b3c23f","45.046793","7.673014","De Amicis","2022-04-06T10:55:14.842000Z"
"7","133","276","4.4","online","896","11","059b848bf0487496d890cb92930f7e61","45.036989","7.651926","Montevideo","2022-04-06T10:55:14.843000Z"
"8","109","577","4.2","online","359","7","0445f90ecfe8259f2d8763fa03c73c14","45.054859","7.685605","Valentino 2","2022-04-06T10:55:14.843000Z"
"7","110","696","4.1","online","360","3","163be8fb0f20f48da88c5200c1d141b5","45.063828","7.65582","Ferrucci","2022-04-06T10:55:14.843000Z"
"4","196","306","4.2","online","519","9","fb1ae7585d10d32066eb9fcba0a500f5","45.03441079999","7.6375261","San Remo","2022-04-06T10:55:14.843000Z"
